"model","pi_class7","pi_class8","h1_weighted_diag","h2_weighted_diag","tool_weighted_diag","mean_entropy","median_entropy","mean_max_p","median_max_p"
"alpha11_beta1",0.478122997265,0.521877002735,0.995770876838267,0.995785911384951,0.987412286049133,7.61413392925546e-05,1.3926040959678e-06,0.999990487100259,0.999999919925
"alpha11_beta5diag",0.477896832886875,0.522103167113125,0.995872595853963,0.995879129764167,0.987596695645084,7.57942120824909e-05,1.31562032328408e-06,0.999990520623043,0.999999924635
