"kldb_tool_mit_anfniveau","isco_tool_mit_anfniveau","kldb_tool_vorlaufig","isco_tool_vorlaufig","kldb_infas_num","isco_infas_num","kldb_infas_str","isco_infas_str","res1_kldb","res2_kldb","res3_kldb","res1_isco","res2_isco","res3_isco","kldb_tool_1st","res1_kldb_1st","res2_kldb_1st","isco_tool_1st","res1_isco_1st","res2_isco_1st","item_id"
"83124","2635","83124","2635",83123,2635,"[83123] Sozialarbeit, Sozialpaedagogik-Spezialist","[2635] Sozialarbeiter","83123","83123",NA,"2635","2635",NA,8,8,8,2,2,2,77
"NA","NA","NA","NA",84124,2300,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2300] Lehrkräfte","84124","84404",84124,"2300, 2330","2300",2300,NA,8,8,NA,2,2,78
"71302","4322","71302","4322",61112,3323,"[61112] Einkauf - Fachkraft","[3323] Einkäufer","61112","61112",NA,"3323","3323",NA,7,6,6,4,3,3,79
"23212","7321","23212","7321",23212,7321,"[23212] Digital-,Printmediengestaltung-Fachkraft","[7321] Techniker in der Druckvorstufe","23213","23212",23212,"7321","7321, 2166",7321,2,2,2,7,7,7,80
"84114","2341","84114","2341",84124,2300,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2300] Lehrkräfte","84124","84124",NA,"2300, 2330","2300",2300,8,8,8,2,2,2,81
"72144","2413","72144","2413",72123,3319,"[72123] Anlageberater, Finanzdienstl.-Spezialist","[3319] nicht akademische Fachkräfte im Bereich Finanzen (Gesis-Sondercode)","72123","72123",NA,"3311","3319, 3310",3310,7,7,7,2,3,3,82
"NA","NA","NA","NA",71402,3343,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[3343] Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung","26393","26313",71402,"4120","3343",3343,NA,2,2,NA,4,3,83
"29212","8160","29212","8160",41311,8131,"[41311] Chemie- und Pharmatechnik - Helfer","[8131] Bediener von Anlagen und Maschinen für chemische Erzeugnisse","41311","41311",NA,"8183","8183",NA,2,4,4,8,8,8,84
"71234","1114","71234","1114",71234,1212,"[71234] Betriebsinterne Wahlaemter - Experte","[1212] Führungskräfte im Personalwesen","71234","71234",NA,"1114","1212",1212,7,7,7,1,1,1,85
"83112","2342","83112","2342",83112,2342,"[83112] Kinderbetreuung, -erziehung - Fachkraft","[2342] Lehrkräfte und Erzieher im Vorschulbereich","83112","83112",NA,"2342","2342",NA,8,8,8,2,2,2,86
"62194","1420","62194","1420",62194,5222,"[62194] Fuehrung - Verkauf","[5222] Verkaufsaufsichtskräfte in Handelsgeschäften","62194","62194",NA,"1420","5222",5222,6,6,6,1,1,5,87
"NA","NA","NA","NA",51522,8312,"[51522] Ueberwach.Eisenbahnverkehrsbetr-Fachkraft","[8312] Bediener von Sicherungs-, Signal- und Leittechnik im Schienennetzbetrieb","51522","51522",NA,"8312","8312",NA,NA,5,5,NA,8,8,88
"83112","2342","83112","2342",83112,2342,"[83112] Kinderbetreuung, -erziehung - Fachkraft","[2342] Lehrkräfte und Erzieher im Vorschulbereich","83112","83112",NA,"2342","2342",NA,8,8,8,2,2,2,89
"NA","NA","NA","NA",24522,7222,"[24522] Werkzeugtechnik - Fachkraft","[7222] Werkzeugmechaniker und verwandte Berufe","24522","24512",93602,"7312","7311",7311,NA,2,2,NA,7,7,90
"63143","5113","63143","5113",63143,5113,"[63143] Reiseleiter, Fremdenfuehrer - Spezialist","[5113] Reiseleiter/Fremdenführer","63143","63143",NA,"5113","5113",NA,6,6,6,5,5,5,91
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73202","3354",73204,2422,"[73204] Oeffentliche Verwaltung (o.S.) - Experte","[2422] Akademische und vergleichbare Fachkräfte in der strategischen Planung in Politik und Wirtschaft","73204","73204",NA,"2422","2422",NA,NA,7,7,NA,2,2,92
"62242","5223","62242","5223",61123,3322,"[61123] Vertrieb (ausser IKT) - Spezialist","[3322] Vertriebsagenten","61123","61123",NA,"3322, 2433","3322",3322,6,6,6,5,3,3,93
"84114","2341","84114","2341",84114,2341,"[84114] Lehrkraefte in der Primarstufe - Experte","[2341] Lehrkräfte im Primarbereich","84114","84114",NA,"2341","2341",NA,8,8,8,2,2,2,94
"NA","NA","NA","NA",1402,310,"[1402] Angeh. regulaere Streitkraefte sonst.Raenge","[310] Angehörige der regulären Streitkräfte in sonstigen Rängen","1402","1402",NA,"310","410",310,NA,1,1,NA,3,4,95
"84124","2330","84124","2330",84124,2330,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2330] Lehrkräfte im Sekundarbereich","84124","84124",NA,"2330","2330",NA,8,8,8,2,2,2,96
"53132","5411","53132","5411",34112,5153,"[34112] Platz-, Geraetewarte/innen - Fachkraft","[5153] Hauswarte","34112","34112",NA,"9629","5411",5411,5,3,3,5,9,5,97
"NA","NA","NA","NA",25132,7250,"[25132] Tech.Servicekr.Wartung,Instand-Fachkraft","[7250] Schlosser ohne weitere Spezifizierung (Gesis-Sondercode)","25132","25132",NA,"7250","7230",7250,NA,2,2,NA,7,7,98
"12202","7549","12202","7549",12202,7549,"[12202] Floristik - Fachkraft","[7549] Handwerks- und verwandte Berufe, anderweitig nicht genannt","12202","12202",NA,"7549","7549",NA,1,1,1,7,7,7,99
"81634","2634","81634","2634",81634,2634,"[81634] Nicht aerztliche Psychotherapie - Experte","[2634] Psychologen","81634","81634",NA,"2634","2634",NA,8,8,8,2,2,2,100
"73294","1112","73294","1112",73293,1112,"[73293] Aufsicht - Verwaltung","[1112] Leitende Verwaltungsbedienstete","71394","71394",NA,"110","110",NA,7,7,7,1,1,1,101
"NA","NA","NA","NA",43394,1330,"[43394] Fuehrung-IT-Netzw.,-Koord.,-Admin.,-Orga.","[1330] Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie","43394","43394",NA,"1330","1330",NA,NA,4,4,NA,1,1,102
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73202","3354",73204,2422,"[73204] Oeffentliche Verwaltung (o.S.) - Experte","[2422] Akademische und vergleichbare Fachkräfte in der strategischen Planung in Politik und Wirtschaft","73204","73204",NA,"2422","1213",1213,NA,7,7,NA,2,1,103
"26212","7411","26212","7411",26252,7412,"[26252] Elektrische Betriebstechnik - Fachkraft","[7412] Elektromechaniker und verwandte Berufe","26212","26212",NA,"7412","7412",NA,2,2,2,7,7,7,104
"84454","2353","84454","2353",84404,2300,"[84404] Erwachsenenbildung (o.S.) - Experte","[2300] Lehrkräfte","84404","84404",NA,"2300","2300",NA,8,8,8,2,2,2,105
"81301","5321","81301","5321",83131,5321,"[83131] Heilerziehungspflege, Sonderpaed. -Helfer","[5321] Pflegehelfer","83131","83131",NA,"5321","5321",NA,8,8,8,5,5,5,106
"83112","2342","83112","2342",83112,2342,"[83112] Kinderbetreuung, -erziehung - Fachkraft","[2342] Lehrkräfte und Erzieher im Vorschulbereich","83112","83112",NA,"2342","2342",NA,8,8,8,2,2,2,107
"91334","2351","91334","2351",91334,2351,"[91334] Erziehungswissenschaft - Experte","[2351] Pädagogik- und Didaktikspezialisten","91334","91334",NA,"2351","2351",NA,9,9,9,2,2,2,108
"27394","1321","27394","1321",71104,1120,"[71104] Geschaeftsfuehrer und Vorstaende - Experte","[1120] Geschäftsführer und Vorstände","71104","71104",NA,"1120","1120",NA,2,7,7,1,1,1,109
"NA","NA","NA","NA",81414,2212,"[81414] Fachaerzte Kinder-,Jugendmedizin -Experte","[2212] Fachärzte","81414","81414",NA,"2212","2212",NA,NA,8,8,NA,2,2,110
"84214","2320","84214","2320",84214,2320,"[84214] Lehrkraefte berufsbildende Faecher-Experte","[2320] Lehrkräfte im Bereich Berufsbildung","84214","84214",NA,"2320","2320",NA,8,8,8,2,2,2,111
"NA","NA","NA","NA",83112,5311,"[83112] Kinderbetreuung, -erziehung - Fachkraft","[5311] Kinderbetreuer","83112","83112",NA,"5311","5311",NA,NA,8,8,NA,5,5,112
"NA","NA","NA","NA",83124,2635,"[83124] Sozialarbeit, Sozialpaedagogik - Experte","[2635] Sozialarbeiter","83124","83124",NA,"2635","2635",NA,NA,8,8,NA,2,2,113
"72243","2411","72243","2411",72244,2411,"[72244] Wirtschaftspruefung - Experte","[2411] Wirtschaftsprüfer, Steuerberater und verwandte Berufe","72244","72244",NA,"2411, 3313","2411",2411,7,7,7,2,2,2,114
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","26303","3113",26212,7411,"[26212] Bauelektrik - Fachkraft","[7411] Bauelektriker und verwandte Berufe","25132","26212",26212,"7411","7412",7412,NA,2,2,NA,7,7,115
NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,116
NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,117
"72233","3313","72233","3313",72234,2411,"[72234] Controlling - Experte","[2411] Wirtschaftsprüfer, Steuerberater und verwandte Berufe","72234","72234",NA,"2411","2411",NA,7,7,7,3,2,2,118
"83154","Mehrere Matches, bitte manuell prüfen","83154","2635",83124,2635,"[83124] Sozialarbeit, Sozialpaedagogik - Experte","[2635] Sozialarbeiter","83124","83124",NA,"2635","2635",NA,8,8,8,NA,2,2,119
"NA","NA","NA","NA",43104,2519,"[43104] Informatik (o.S.) - Experte","[2519] Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt","43104","43104",NA,"2511, 2512","2500",2500,NA,4,4,NA,2,2,120
"72123","3311","72123","3311",72124,2412,"[72124] Anlageberater, Finanzdienstl.-Experte","[2412] Finanz- und Anlageberater","72124","72124",NA,"2412","2412",NA,7,7,7,3,2,2,121
NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,122
"62101","9334","62101","9334",62112,5230,"[62112] Kassierer, Kartenverkaeufer - Fachkraft","[5230] Kassierer und Kartenverkäufer","62101, 62112","62112",62112,"5230","5230",NA,6,6,6,9,5,5,123
"84124","2330","84124","2330",84124,2330,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2330] Lehrkräfte im Sekundarbereich","84124","84124",NA,"2330","2330",NA,8,8,8,2,2,2,124
"54101","9112","54101","9112",54101,9112,"[54101] Reinigung (o.S.) - Helfer","[9112] Reinigungspersonal und Hilfskräfte in Büros, Hotels und anderen Einrichtungen","54101","54101",NA,"9112","9112",NA,5,5,5,9,9,9,125
"NA","NA","NA","NA",71324,2421,"[71324] Unternehmensberatung - Experte","[2421] Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse","71324","71324",NA,"2421","2421",NA,NA,7,7,NA,2,2,126
"81302","3221","81313","3221",81302,3221,"[81302] Gesundheits-,Krankenpflege(oS)-Fachkraft","[3221] Nicht akademische Krankenpflegefachkräfte","81302","81302",NA,"3221","3221",NA,8,8,8,3,3,3,127
