"model","pi_class2","pi_class3","h1_weighted_diag","h2_weighted_diag","tool_weighted_diag","mean_entropy","median_entropy","mean_max_p","median_max_p"
"alpha11_beta1",0.725777657725,0.274222342275,0.947440459742,0.984618321186792,0.9302728498279,0.0172122311294975,0.000830290934108273,0.994717543743413,0.999920464658125
"alpha11_beta5diag",0.72614323150375,0.27385676849625,0.948745018668119,0.984798030268072,0.932165795002935,0.0167813737291759,0.000719287307198355,0.994920479570589,0.999932129049375
"alpha300200_beta1",0.651893810821875,0.348106189178125,0.944921151961019,0.98391788062217,0.922836863128918,0.0194321638570758,0.00145681087029585,0.993538159082435,0.999851578783125
"alpha300200_beta5diag",0.652014445729375,0.347985554270625,0.946432362915034,0.984424873235117,0.925359926829783,0.0187349904860087,0.0012589017598831,0.993870523856152,0.99987382996
