"model","pi_class2","pi_class3","h1_weighted_diag","h2_weighted_diag","tool_weighted_diag","mean_entropy","median_entropy","mean_max_p","median_max_p"
"alpha11_beta1",0.725777657725,0.274222342275,0.947440459742,0.984618321186792,0.9302728498279,0.0172122311294975,0.000830290934108273,0.994717543743413,0.999920464658125
"alpha11_beta5diag",0.72614323150375,0.27385676849625,0.948745018668119,0.984798030268072,0.932165795002935,0.0167813737291759,0.000719287307198355,0.994920479570589,0.999932129049375
"alpha1510_beta1",0.718517095848125,0.281482904151875,0.947184427437099,0.984508192034871,0.929419554447334,0.0174427931618929,0.000876694119357593,0.994614454420473,0.999915532781875
"alpha1510_beta5diag",0.718893037400625,0.281106962599375,0.948393180243514,0.984837718031698,0.931663870066515,0.0169156091730068,0.000760712623399449,0.994842836322326,0.99992779884375
